id,user__id,equiz__id,mark,max_mark,score,progress,duration,attempt_time,attempt_complete,rand_qns,all_qns_count,select_qns_count,qns_order,all_qns_order,all_qns_level_type,seq
119004,1149647,22637,2,3,66.67,1,158,2019/01/17 16:10:41,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119125,1149764,22637,2,3,66.67,1,272,2019/01/29 08:52:26,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119127,1149668,22637,2,3,66.67,1,665,2019/01/29 15:50:48,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119128,1149668,22637,2,3,66.67,1,37,2019/01/29 16:01:53,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",2
119300,1149689,22637,2,3,66.67,1,104,2019/02/11 19:22:23,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119374,1149609,22637,3,3,100,1,77,2019/02/15 17:17:26,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119422,1149657,22637,3,3,100,1,89566,2019/02/18 15:39:21,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119439,1149619,22637,3,3,100,1,157,2019/02/19 15:14:54,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119450,1149673,22637,2,3,66.67,1,223,2019/02/19 22:04:57,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
119454,1149719,22637,2,3,66.67,1,332,2019/02/19 23:18:33,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
120165,1131021,22637,3,3,100,1,44,2019/03/15 09:45:38,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
120353,1149655,22637,3,3,100,1,68,2019/03/20 12:29:51,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
120373,1150304,22637,3,3,100,1,257,2019/03/20 16:27:39,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
120469,1149756,22637,1,3,33.33,1,453,2019/03/22 13:27:52,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
120472,1149756,22637,3,3,100,1,40,2019/03/22 13:36:39,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",2
120665,1150255,22637,3,3,100,1,82,2019/03/26 11:00:19,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
120761,1149676,22637,1,3,33.33,1,964,2019/03/27 14:07:31,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121293,1149679,22637,2,3,66.67,1,76,2019/04/03 13:58:25,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121354,1149675,22637,2,3,66.67,1,1418,2019/04/04 18:03:36,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121375,1149680,22637,1,3,33.33,1,241,2019/04/05 10:53:17,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121376,1149680,22637,0,0,0,0,167,2019/04/05 10:58:01,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",2
121377,1149680,22637,3,3,100,1,38,2019/04/05 11:00:48,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",3
121457,1149713,22637,3,3,100,1,91,2019/04/07 12:35:52,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121493,1150254,22637,2,3,66.67,1,393,2019/04/08 14:56:31,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121494,1150254,22637,0,0,0,0,,2019/04/08 15:03:31,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",2
121495,1150254,22637,2,3,66.67,1,21,2019/04/08 15:03:36,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",3
121496,1150254,22637,3,3,100,1,21,2019/04/08 15:04:17,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",4
121501,1149700,22637,3,3,100,1,121,2019/04/08 15:40:16,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121524,1149687,22637,3,3,100,1,50,2019/04/09 09:24:25,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121540,1149665,22637,1,3,33.33,1,53,2019/04/09 22:08:08,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121541,1149665,22637,3,3,100,1,16,2019/04/09 22:09:28,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",2
121670,1150000,22637,3,3,100,1,44,2019/04/15 11:03:13,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
121777,1151104,22637,2,3,66.67,1,532,2019/04/22 15:53:51,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
122188,1149750,22637,3,3,100,1,151,2019/05/08 22:01:28,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
122488,1147496,22637,2,3,66.67,1,58,2019/05/13 16:36:33,yes,0,3,3,"22287,22288,22289","222,872,228,822,289","22287-1-mcq,22288-1-mcq,22289-1-mcq",1
